Disease|Description
spinocerebellar ataxia|Spinocerebellar ataxia is a group of inherited disorders that cause progressive coordination and balance problems due to degeneration of the cerebellum and spinal cord. Symptoms include unsteady gait, speech difficulties, and fine motor issues. There is no cure; treatment focuses on symptom management through physical therapy and supportive care.
osteomyelitis|Osteomyelitis is an infection of bone, usually caused by bacteria like Staphylococcus aureus. Symptoms include bone pain, swelling, redness, and fever. Diagnosis often involves imaging and biopsy. Treatment includes prolonged antibiotic therapy and sometimes surgical removal of infected bone tissue.
sjogren syndrome|Sjögren syndrome is an autoimmune disorder characterized by dry eyes and dry mouth due to immune attack on moisture-producing glands. Other symptoms include joint pain and fatigue. Treatment includes artificial tears, saliva stimulants, and immunosuppressive medications for systemic symptoms.
adhesive capsulitis of the shoulder|Also known as frozen shoulder, this condition involves stiffness and pain in the shoulder joint due to inflammation and thickening of the joint capsule. Symptoms progress through stages of pain and increasing immobility. Treatment includes physical therapy, anti-inflammatory medications, and sometimes corticosteroid injections or surgery.
viral hepatitis|Viral hepatitis is liver inflammation caused by viruses such as hepatitis A, B, or C. Symptoms may include fatigue, jaundice, abdominal pain, nausea, and dark urine. Treatment depends on the type—supportive care for hepatitis A, antiviral therapy for hepatitis B and C, and monitoring for liver damage.
tonsillar hypertrophy|Tonsillar hypertrophy refers to the abnormal enlargement of the tonsils, often due to chronic infections or inflammation. Symptoms include snoring, difficulty swallowing, mouth breathing, and sleep apnea. Treatment depends on severity and may include observation, antibiotics, or tonsillectomy if causing obstruction or recurrent infections.
gastritis|Gastritis is the inflammation of the stomach lining, often caused by infection with H. pylori, prolonged NSAID use, alcohol, or stress. Symptoms include stomach pain, nausea, vomiting, and bloating. Treatment involves antacids, proton pump inhibitors, antibiotics for H. pylori, and avoiding irritants.
skin cancer|Skin cancer is the uncontrolled growth of abnormal skin cells, including types like basal cell carcinoma, squamous cell carcinoma, and melanoma. Symptoms may include a new mole, skin lesion, or sore that doesn’t heal. Treatment depends on the type and may involve surgical removal, topical treatments, radiation, or immunotherapy.
rheumatic fever|Rheumatic fever is an inflammatory disease that can develop after untreated or poorly treated strep throat. It affects the heart, joints, skin, and brain. Symptoms include fever, joint pain, rash, and heart murmur. Treatment includes antibiotics, anti-inflammatory medications, and long-term penicillin prophylaxis to prevent recurrence.
aphthous ulcer|Aphthous ulcers, also known as canker sores, are small, painful lesions inside the mouth. They are not contagious and often triggered by stress, minor injury, or certain foods. Symptoms include round or oval ulcers with a white or yellow center. Treatment includes topical pastes, mouth rinses, and pain relievers.
tonsillitis|Tonsillitis is inflammation of the tonsils, typically due to viral or bacterial infection. Symptoms include sore throat, difficulty swallowing, swollen lymph nodes, fever, and red or white patches on the tonsils. Treatment involves rest, fluids, pain relievers, and antibiotics if bacterial. Recurrent cases may require tonsillectomy.
intestinal cancer|Intestinal cancer includes malignancies of the small or large intestine, such as colorectal cancer. Symptoms include abdominal pain, blood in stool, changes in bowel habits, and unexplained weight loss. Treatment typically involves surgery, chemotherapy, radiation, or targeted therapy depending on the cancer type and stage.
rocky mountain spotted fever|Rocky Mountain spotted fever is a bacterial infection transmitted by tick bites. Symptoms include fever, headache, rash, nausea, and muscle pain. It can be life-threatening if not treated promptly. Doxycycline is the first-line treatment, even in children, and should be started as soon as the disease is suspected.
stomach cancer|Stomach cancer, or gastric cancer, often develops slowly and may go unnoticed in early stages. Symptoms include indigestion, bloating, nausea, weight loss, and blood in stool. Treatment may involve surgery, chemotherapy, radiation, and targeted drug therapy depending on the stage and location of the tumor.
developmental disability|Developmental disabilities are a group of conditions due to impairments in physical, learning, language, or behavior areas. They may include autism, cerebral palsy, and intellectual disabilities. Symptoms vary widely. There is no cure, but early intervention, special education, and therapies can help improve quality of life.
acute stress reaction|Acute stress reaction is a psychological response to a traumatic or stressful event. Symptoms include anxiety, confusion, irritability, insomnia, and physical complaints like heart palpitations. It typically resolves on its own, but supportive therapy and short-term medications like anxiolytics may be used.
delirium|Delirium is a sudden change in mental status marked by confusion, disorientation, and difficulty concentrating. It is often caused by illness, medications, or substance withdrawal. Treatment involves identifying and correcting the underlying cause and providing supportive care and a calm environment.
callus|A callus is a thickened area of skin that forms due to repeated friction or pressure, often on hands or feet. Symptoms include hardened, rough skin and sometimes pain. Treatment includes removing the source of friction, moisturizing, and using pumice stones or protective pads.
guillain barre syndrome|Guillain-Barré syndrome is a rare autoimmune disorder where the immune system attacks peripheral nerves, leading to muscle weakness and paralysis. Symptoms start with tingling in the legs and can progress to complete paralysis. Treatment includes intravenous immunoglobulin (IVIG) or plasmapheresis and supportive care.
